task,agent,run,test_state,0,1,2,3,4,5
0,INQUIRE,0,0,0.15396477934275357,0.45420118238164137,0.46605060222143285,0.4618353108290644,0.4410695729262616,0.4354473819626857
0,INQUIRE,1,0,0.2520579226881522,0.4690683781704621,0.40710387731855113,0.4281480015040353,0.22410956182091296,0.20552145678942174
0,INQUIRE,2,0,0.7875735943362431,0.4233754590245572,0.2415020656695888,0.2451612560073873,0.2650997898982096,0.31368613871782514
0,INQUIRE,3,0,0.6695923816735202,0.44578255075265705,0.37013517867607015,0.40529882085296,0.426672495118408,0.44186321749332175
0,INQUIRE,4,0,0.4954875571825387,0.481815640551322,0.45961120121642574,0.4552421714909426,0.4447504628771569,0.38518664131102226
0,INQUIRE,5,0,0.45667303806656545,0.496874629950885,0.42925378131832254,0.39713911355145803,0.24991002706677942,0.27818458570001015
0,INQUIRE,6,0,0.18140602754046098,0.4974665925563785,0.4770310881440686,0.3452770140711582,0.08829553566851506,0.22742350667071484
0,INQUIRE,7,0,0.3597583442054075,0.4653856763974681,0.4681468852233004,0.4617546103674579,0.466131037386965,0.46904924416128446
0,INQUIRE,8,0,0.6680975793097992,0.4922606218973933,0.4494477142409986,0.4497409312269163,0.46433023868248974,0.46963068487200177
0,INQUIRE,9,0,0.21651519916057374,0.37319920711068394,0.4045229024696757,0.4121931181838954,0.431268675444021,0.41252437208782644
